Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Abe North	40s	Male	Wealthy, Alcoholic	Disillusioned, witty, self-destructive	Supporting Character	Composer	Book 1, Chapter 4	Cynical, indulgent, lost	Drinks excessively, causes trouble, is eventually murdered	Friend of the Divers, married to Mary	Disheveled, weary, unkempt	Wrinkled suits, loose ties, casual wear	ChatGPT	Tender is the Night	2025-01-13
Mary North (Mary Minghetti)	30s	Female	Wealthy, Socialite	Loyal, supportive, adaptable	Supporting Character	Socialite	Book 1, Chapter 4	Caring, independent, resilient	Remarries after Abe’s death, tries to support friends	Married to Abe, later marries another man	Petite, elegant, fashionable	Colorful dresses, stylish hats	ChatGPT	Tender is the Night	2025-01-13
Albert McKisco	35	Male	Wealthy Nouveau Riche	Ambitious, insecure, boastful	Minor Character	Writer	Book 1, Chapter 4	Pretentious, eager for recognition	Challenges Tommy Barban to a duel, later becomes successful	Married to Violet McKisco, rivals with elite guests	Thin, nervous, awkward	Loud-patterned suits, fashionable coats	ChatGPT	Tender is the Night	2025-01-13
Violet McKisco	30s	Female	Wealthy Nouveau Riche	Gossiping, curious, excitable	Minor Character	Socialite	Book 1, Chapter 4	Pushy, eager, competitive	Spreads rumors about the Divers, supports her husband	Married to Albert McKisco	Sharp features, animated expression	Brightly colored dresses, extravagant hats	ChatGPT	Tender is the Night	2025-01-13
Jules Peterson	40s	Male	Working Class, Outsider	Mysterious, ill-fated	Minor Character	Political Agitator	Book 1, Chapter 6	Fearful, secretive, unlucky	Is killed after getting involved in a scandal	No close relationships in the novel	Foreign-looking, unremarkable	Simple dark suits, plain shirts	ChatGPT	Tender is the Night	2025-01-13
Franz Gregorovius	40s	Male	Wealthy, Professional	Serious, disciplined, intelligent	Minor Character	Psychiatrist	Book 1, Chapter 5	Responsible, clinical, unemotional	Recommends Dick to treat Nicole, later warns him	Colleague of Dick, mentor to Nicole	Sturdy, well-groomed, professional	Formal suits, medical coats	ChatGPT	Tender is the Night	2025-01-13
Christopher Tietjens	30s	Male	Upper Class	Intelligent, principled, stoic	Protagonist	Civil Servant, Statistician	Chapter 1	Honorable, traditional, reserved	Refuses to deny paternity of his wife's child, enlists in WWI	Married to Sylvia, in love with Valentine	Strong, fair-haired, solid build	Gray or dark suits, stiff collars	ChatGPT	Some do not...	2025-01-13
Sylvia Tietjens	30s	Female	Upper Class	Beautiful, manipulative, unfaithful	Antagonist	Socialite	Chapter 1	Capricious, cruel, seductive	Has affairs, tries to control Christopher	Married to Christopher, involved with many lovers	Tall, striking, elegant	Expensive dresses, elaborate hats	ChatGPT	Some do not...	2025-01-13
Valentine Wannop	20s	Female	Middle Class	Idealistic, independent, feminist	Major Character	Teacher, Suffragette	Chapter 2	Passionate, intellectual, caring	Supports women’s rights, falls in love with Christopher	In love with Christopher, daughter of a novelist	Slender, dark-haired, youthful	Simple blouses, long skirts, neutral colors	ChatGPT	Some do not...	2025-01-13
Mark Tietjens	40s	Male	Upper Class	Blunt, traditional, pragmatic	Supporting Character	Landowner, Christopher’s brother	Chapter 3	Reserved, sarcastic, fiercely loyal	Tries to protect Christopher’s reputation	Brother of Christopher, dislikes Sylvia	Heavyset, gruff, distinguished	Formal countrywear, dark tweeds	ChatGPT	Some do not...	2025-01-13
General Campion	60s	Male	Upper Class	Military, loyal, old-fashioned	Supporting Character	Army General	Chapter 4	Dutiful, conservative, straightforward	Encourages Christopher to join the war	Friend and mentor to Christopher	Tall, mustached, authoritative	Army uniform, medals	ChatGPT	Some do not...	2025-01-13
Macmaster	30s	Male	Middle Class	Ambitious, cultured, opportunistic	Supporting Character	Art Critic, Civil Servant	Chapter 1	Social-climbing, charming, insecure	Rises in society through connections, befriends Christopher	Friend and colleague of Christopher	Slender, polished, refined	Stylish suits, silk ties	ChatGPT	Some do not...	2025-01-13
Mrs. Wannop	50s	Female	Middle Class	Respected, intellectual, widowed	Minor Character	Novelist, Journalist	Chapter 2	Eloquent, hardworking, kind	Supports her daughter Valentine, critiques society	Mother of Valentine, acquaintance of Tietjens	Thin, sharp-eyed, poised	Plain but elegant dresses, gray shawl	ChatGPT	Some do not...	2025-01-13
Aranjuez	Unknown	Male	Mysterious, foreign, enigmatic	Minor Character	Unknown	Chapter 5	Clever, manipulative, persuasive	Has an unclear connection to Sylvia and society circles	Acquaintance of Sylvia, possibly her lover	Dark, exotic, secretive	Stylish suits, dark coats		ChatGPT	Some do not...	2025-01-13
Ethel	20s	Female	Lower Class	Flirtatious, naive, lively	Minor Character	Maid	Chapter 6	Cheeky, fun-loving, talkative	Gossips about the Tietjens household	Servant in Sylvia’s circle	Young, pretty, playful	Simple maid’s uniform, white apron	ChatGPT	Some do not...	2025-01-13
Philip Quarles	40s	Male	Upper Class	Intellectual, detached, introspective	Protagonist	Writer, Intellectual	Part 1, Chapter 1	Analytical, emotionally distant, observant	Documents society’s contradictions, struggles with emotional detachment	Married to Elinor Quarles, son of a famous intellectual	Tall, thin, bespectacled	Gray suits, dark overcoats	ChatGPT	Point Counter Point	2025-01-13
Elinor Quarles	30s	Female	Upper Class	Sincere, loyal, patient	Major Character	Socialite	Part 1, Chapter 1	Compassionate, grounded, understanding	Supports her husband despite his emotional distance	Married to Philip Quarles, admirer of Everard Webley	Graceful, well-dressed, composed	Elegant dresses, soft pastels	ChatGPT	Point Counter Point	2025-01-13
Walter Bidlake	30s	Male	Middle Class	Emotional, indecisive, romantic	Major Character	Journalist	Part 1, Chapter 2	Passionate, restless, self-absorbed	Has an affair with Marjorie Carling, pursues Lucy Tantamount	In a failing relationship with Marjorie, infatuated with Lucy	Young, attractive, modern fashion	Tweed jackets, casual suits	ChatGPT	Point Counter Point	2025-01-13
Marjorie Carling	30s	Female	Middle Class	Devoted, insecure, desperate	Major Character	Housewife	Part 1, Chapter 2	Clingy, emotional, self-sacrificing	Pregnant with Walter’s child, struggles with his neglect	Lover of Walter Bidlake, abandoned by him	Pale, weary, anxious	Simple, modest dresses, muted colors	ChatGPT	Point Counter Point	2025-01-13
Lucy Tantamount	30s	Female	Upper Class	Reckless, seductive, hedonistic	Major Character	Socialite	Part 1, Chapter 4	Self-indulgent, manipulative, free-spirited	Engages in multiple affairs, including one with Walter	Lover of Walter Bidlake, flirts with many men	Tall, striking, elegant	Glamorous gowns, bold colors	ChatGPT	Point Counter Point	2025-01-13
Everard Webley	40s	Male	Upper Class	Authoritarian, charismatic, extreme	Supporting Character	Political Leader (Fascist)	Part 1, Chapter 5	Forceful, commanding, fanatical	Leads a right-wing movement, is later murdered	Involved with Elinor Quarles, opposed by Illidge	Powerful, rugged, military-like	Dark suits, riding gear	ChatGPT	Point Counter Point	2025-01-13
Illidge	30s	Male	Lower Middle Class	Resentful, bitter, intelligent	Supporting Character	Scientist	Part 1, Chapter 6	Cynical, frustrated, envious	Despises the upper class, involved in Webley’s murder	Opposed to Webley, frustrated by class differences	Thin, intense, sharp features	Worn-out suits, dark colors	ChatGPT	Point Counter Point	2025-01-13
Lord Edward Tantamount	60s	Male	Aristocracy	Absent-minded, brilliant, eccentric	Supporting Character	Scientist	Part 1, Chapter 7	Kindly, detached, oblivious	Focuses on research, ignores social chaos	Father of Lucy Tantamount, respected scientist	Aging, thin, distracted	Shabby suits, laboratory coats	ChatGPT	Point Counter Point	2025-01-13
Maurice Spandrell	40s	Male	Upper Class	Cynical, self-destructive, nihilistic	Supporting Character	Intellectual, Drifter	Part 1, Chapter 8	Depressed, disillusioned, brooding	Becomes involved in Webley’s murder, seeks redemption	Alienated from society, fascinated by religion	Gaunt, pale, haunted look	Dark suits, somber tones	ChatGPT	Point Counter Point	2025-01-13
Mary Rampion	30s	Female	Middle Class	Passionate, idealistic, artistic	Supporting Character	Artist	Part 1, Chapter 9	Emotional, caring, impulsive	Marries Mark Rampion, opposes upper-class values	Married to Mark Rampion, friend of Elinor	Beautiful, expressive, lively	Bohemian dresses, earthy colors	ChatGPT	Point Counter Point	2025-01-13
Mark Rampion	40s	Male	Middle Class	Outspoken, artistic, principled	Supporting Character	Painter, Writer	Part 1, Chapter 9	Honest, direct, passionate	Criticizes modern civilization, represents Huxley’s ideals	Married to Mary Rampion, befriends Philip Quarles	Stocky, intense, bearded	Casual artist attire, loose shirts	ChatGPT	Point Counter Point	2025-01-13
Leopold Bloom	38	Male	Upper-middle class	Jewish, thoughtful, introspective, rational	Protagonist	Advertising canvasser	Chapter 4	Curiosity, skepticism, kindness, melancholy	Attends to his wife Molly, wanders Dublin, contemplates life	Married to Molly Bloom, has a strained relationship with his father, daughter, and others	Pale skin, dark hair, mustache, medium height	Black suit, bowler hat, waistcoat	ChatGPT	Ulysses	2025-01-13
Molly Bloom	33	Female	Middle class	Faithful wife, sensual, emotionally complex	Wife	Housewife	Chapter 4	Passionate, strong-willed, reflective	Reflects on her past, has an affair with Blazes Boylan	Married to Leopold Bloom, has a close bond with her lover Boylan	Brunette, short hair, attractive	White blouse, black skirt, some lingerie (intimate wear)	ChatGPT	Ulysses	2025-01-13
Stephen Dedalus	22	Male	Lower-middle class	Artistic, intellectual, cynical	Supporting character	Teacher	Chapter 1	Independent, rebellious, introspective	Walks through Dublin, teaches at a school, encounters Bloom	Has a strained relationship with his father, mentor-like connection to Bloom	Thin, pale, dark hair, angular face	Loose dark clothing, green tie	ChatGPT	Ulysses	2025-01-13
Blazes Boylan	34	Male	Upper class	Affluent, confident, seductive	Antagonist	Promoter	Chapter 18	Charm, manipulative, forward	Has an affair with Molly Bloom	No significant personal relationships in the novel	Fair complexion, strong build, clean-shaven	Well-dressed in a suit, often with a tie or cravat	ChatGPT	Ulysses	2025-01-13
Buck Mulligan	30	Male	Upper class	Arrogant, witty, flamboyant	Supporting character	Doctor	Chapter 1	Confident, mocking, humorous	Mocks Stephen and others, interacts with several characters	Has a close (yet distant) relationship with Stephen Dedalus	Blond hair, tall, handsome, boisterous	Lavish clothing, white coat, green vest	ChatGPT	Ulysses	2025-01-13
Gertie MacDowell	19	Female	Lower class	Sweet, flirtatious	Minor character	Shop assistant	Chapter 4	Charming, flirtatious	Flirts with Bloom from afar	None significant in the story	Short hair, attractive	Blue dress, white shoes	ChatGPT	Ulysses	2025-01-13
Simon Dedalus	60	Male	Working class	Overbearing, emotionally distant	Father	Retired civil servant	Chapter 2	Grumpy, authoritative	Constantly worries over Stephen, emotionally unavailable	Relationships with his son Stephen, estranged family life	White hair, balding, round face	Old-fashioned dark suit	ChatGPT	Ulysses	2025-01-13
Dante Riordan	40	Female	Working class	Stubborn, religious	Minor character	Housewife	Chapter 1	Religious, opinionated	Disputes with Stephen and others	No close relationships	Short hair, plump figure	Dark dress, bonnet	ChatGPT	Ulysses	2025-01-13
Hugh 'Blazes' Boylan	34	Male	Upper class	Charismatic, manipulative	Minor character	Promoter	Chapter 4	Charming, overconfident	Has an affair with Molly Bloom	None notable	Well-groomed, handsome, tall	Suit and tie	ChatGPT	Ulysses	2025-01-13
Martha Clifford	30	Female	Upper-middle class	Educated, intellectual	Minor character	Teacher	Chapter 4	Charming, witty	Corresponds with Bloom through letters	Has a distant, platonic relationship with Bloom	Attractive, dark hair	Wearing a blouse, long skirt	ChatGPT	Ulysses	2025-01-13
Carol Kennicott	29	Female	Upper-middle class	Idealistic, independent, frustrated	Protagonist	Wife of Dr. Kennicott, community activist	Chapter 1	Conflicted, intelligent, optimistic, passionate	Attempts to change Gopher Prairie, has a vision for the town	Married to Dr. Will Kennicott, interacts with various townsfolk	Blond hair, attractive, petite	Plain but neat clothing, often in earthy tones or muted colors	ChatGPT	Main Street	2025-01-13
Dr. Will Kennicott	32	Male	Upper class	Conservative, self-assured, complacent	Husband	Doctor	Chapter 1	Stable, pragmatic, self-centered	Works as the town doctor, often dismissive of Carol's ideas	Married to Carol, has a good relationship with some townspeople but distant with Carol	Short dark hair, broad-shouldered	Formal suit, white shirt, tie, dark trousers	ChatGPT	Main Street	2025-01-13
Ernest Voss	40	Male	Upper class	Quiet, intellectual, reserved	Minor character	Lawyer	Chapter 2	Thoughtful, kind	Helps Carol with her work on town issues	No major relationships, a minor acquaintance of Carol	Slim, dark hair	Neat, dark-colored suit, tie	ChatGPT	Main Street	2025-01-13
Guy Pollock	35	Male	Upper-middle class	Charming, cynical, intellectual	Minor character	Attorney	Chapter 5	Outspoken, a bit of a loner	Flirts with Carol and discusses progressive ideas	Develops a friendship with Carol	Handsome, well-dressed	Stylish suits, often in darker shades	ChatGPT	Main Street	2025-01-13
Gertie Knebel	30	Female	Lower-middle class	Talkative, judgmental, narrow-minded	Supporting character	Housewife	Chapter 3	Gossipy, conservative	Participates in town activities, provides commentary on Carol and others	Relationship with other Gopher Prairie women	Short brown hair, stout figure	Simple, conservative clothing, light-colored dress	ChatGPT	Main Street	2025-01-13
Raymond Wutherspoon	40	Male	Upper-middle class	Distant, scholarly	Minor character	Professor	Chapter 10	Disengaged, somewhat aloof	Discusses the failings of the town with Carol	No deep relationships	Thin, older-looking	Dark suits, round glasses	ChatGPT	Main Street	2025-01-13
Katherine	60	Female	Working class	Generous, supportive, motherly	Supporting character	Housekeeper	Chapter 2	Sweet, reliable	Works for the Kennicotts, helps Carol with domestic chores	Strong connection with Carol	Gray hair, slightly hunched	Plain, simple clothes, aprons	ChatGPT	Main Street	2025-01-13
Theodore Dreiser	50	Male	Upper-middle class	Cynical, philosophical	Minor character	Writer	Chapter 6	Philosophical, a bit detached	Discusses the limitations of life in Gopher Prairie	Somewhat distant connection to Carol	Gray hair, balding	Old-fashioned but proper attire, suit and tie	ChatGPT	Main Street	2025-01-13
Minnie	40	Female	Lower class	Shy, anxious	Supporting character	Housekeeper	Chapter 7	Reserved, hardworking	Works for the Kennicotts, interacts minimally with Carol	Relationship with Carol as a quiet support figure	Plain, drab clothing in muted tones		ChatGPT	Main Street	2025-01-13
Tony Last	40	Male	Upper class	Unaware, complacent, reserved	Protagonist	Landowner	Chapter 1	Calm, polite, somewhat passive	Struggles with the dissolution of his marriage, inherits a troubled estate	Married to Brenda, estranged from his wife, father to Johnnie	Handsome, tall, dark hair, refined	Traditional English attire, tweed suits, waistcoat	ChatGPT	A Handful of Dust	2025-01-13
Brenda Last	30	Female	Upper class	Beautiful, selfish, manipulative	Wife of Tony	Last namesake	Chapter 1	Charming, discontent, opportunistic	Has an affair with John Beaver, ultimately abandons Tony for a life in Brazil	Married to Tony, affair with John Beaver	Attractive, blonde, elegant	High-fashion dresses, often in lighter shades, sophisticated clothing	ChatGPT	A Handful of Dust	2025-01-13
John Beaver	35	Male	Upper-middle class	Charming, shallow, opportunistic	Minor character	Unemployed	Chapter 4	Self-centered, vain	Has an affair with Brenda, tries to ingratiate himself into high society	No strong personal relationships, except with Brenda	Tall, fair, attractive	Well-dressed, fashionable suits, usually in light colors	ChatGPT	A Handful of Dust	2025-01-13
Johnnie Last	9	Male	Upper class	Sweet, innocent	Minor character	Son of Tony and Brenda	Chapter 1	Innocent, quiet	Primarily observed in the background, but part of family dynamics	Child of Tony and Brenda, his disappearance is significant for Tony	Blond hair, small, angelic	Child's clothes, often in pastels or soft colors	ChatGPT	A Handful of Dust	2025-01-13
Jock	50	Male	Upper-middle class	Reserved, loyal	Minor character	Housekeeper	Chapter 2	Dependable, serious	Works for Tony Last, tends to the estate and Tony's needs	Works closely with Tony, strong relationship with him	Gray hair, stocky figure	Work clothes, rough trousers and jackets	ChatGPT	A Handful of Dust	2025-01-13
Dr. Messinger	40	Male	Upper class	Clinical, distant	Supporting character	Physician	Chapter 2	Detached, rational	Provides medical advice to Tony regarding his troubled state of mind	No notable personal relationships	Sharp features, well-groomed	Suit, possibly with a waistcoat	ChatGPT	A Handful of Dust	2025-01-13
Mrs. Beste-Chetwynde	45	Female	Upper class	Wealthy, sophisticated, assertive	Minor character	Socialite	Chapter 5	Social, charismatic	Represents the more luxurious side of society, befriends Brenda	Appears briefly in social settings	Refined, fashionable clothing, often elegant and stately		ChatGPT	A Handful of Dust	2025-01-13
Dr. Fagan	50	Male	Upper class	Serious, professional	Minor character	Clergyman	Chapter 6	Devout, methodical	Provides counsel to Tony in a spiritual sense	Has a professional relationship with Tony and others	Pale, thin, refined attire, often dark and formal		ChatGPT	A Handful of Dust	2025-01-13
William Boot	30	Male	Upper-middle class	Naive, well-meaning, bumbling	Protagonist	Journalist	Chapter 1	Kind-hearted, absent-minded, clueless	Assigned to cover a war, stumbles through the chaos	Has a brief romantic involvement with Poppet, disrespected by colleagues	Blond hair, unkempt, average build	Old-fashioned suit, often shabby, brown or gray	ChatGPT	Scoop	2025-01-13
Poppet	25	Female	Upper class	Charming, flirtatious, superficial	Minor character	Heiress	Chapter 4	Flirtatious, shallow	Becomes involved with William Boot, flirts with others	Has a relationship with William Boot, but is fickle and disinterested in him long-term	Attractive, dark hair, slim	Trendy, fashionable dresses, light colors	ChatGPT	Scoop	2025-01-13
Julius Winkworth	50	Male	Upper class	Conservative, manipulative, shrewd	Minor character	Editor	Chapter 2	Business-minded, authoritative	Manipulates William Boot to take on the war assignment	Works with William Boot, but has little direct connection to him	Gray hair, balding, sharp features	Suit, dark coat, serious appearance	ChatGPT	Scoop	2025-01-13
Sir Jocelyn Waring	55	Male	Upper class	Arrogant, pompous	Minor character	Politician	Chapter 6	Self-important, grandiose	Represents the political establishment during the conflict	No close relationships, but interacts with Boot in a patronizing manner	Tall, heavy-set, formal demeanor	Elegant suits, formal attire	ChatGPT	Scoop	2025-01-13
Lord Copper	60	Male	Upper class	Outspoken, bombastic, erratic	Minor character	Newspaper magnate	Chapter 3	Authoritative, eccentric	Owns the newspaper that sends Boot to cover the war	No significant personal relationships, mostly interacts with staff	Old, tall, imposing figure	Expensive suits, formal wear	ChatGPT	Scoop	2025-01-13
Edgar Troughton	40	Male	Upper-middle class	Cynical, cynical, sarcastic	Supporting character	Journalist	Chapter 5	Worldly, critical	Works alongside William Boot, often comments on the absurdities of the situation	Has a mentor-like relationship with Boot	Short hair, well-dressed	Smart suits, often dark colors	ChatGPT	Scoop	2025-01-13
Colonel Blount	55	Male	Upper class	Stiff, authoritative	Minor character	Military officer	Chapter 7	Confident, rigid	Oversees the war correspondence, often clashing with the media	Has a relationship with Sir Jocelyn Waring	Short gray hair, stern face	Formal military attire	ChatGPT	Scoop	2025-01-13
Fagan	50	Male	Upper class	Serious, professional	Minor character	Clergyman	Chapter 6	Devout, methodical	Provides counsel to Tony in a spiritual sense	Has a professional relationship with Tony and others	Pale, thin, refined attire, often dark and formal		ChatGPT	Scoop	2025-01-13
Tod Hackett	25	Male	Lower middle class	Ambitious, artistically inclined, disillusioned	Main character	Artist	Chapter 1	Obsessive, reflective, cynical	Works as a background artist in Hollywood; observing people and the world around him.	No close relationships; attracted to Faye Greener	Lean, somewhat attractive, disheveled hair	Gray suit, white shirt	ChatGPT	The Day of the Locust	2025-01-13
Faye Greener	20	Female	Lower class	Beautiful, naive, self-centered	Love interest	Actress wannabe	Chapter 2	Flirtatious, shallow, calculating	Seeks attention and financial stability through men.	Attracts Tod and other men	Blond hair, striking eyes, slender frame	Red dress, white shoes	ChatGPT	The Day of the Locust	2025-01-13
Homer Simpson	40	Male	Lower class	Naive, repressed, socially awkward	Minor character	Businessman	Chapter 3	Shy, introverted, lonely	Works as an insurance salesman; in love with Faye Greener.	Has a strange relationship with Faye Greener	Thin, tall, nervous eyes	Dark suit, white shirt	ChatGPT	The Day of the Locust	2025-01-13
Harry Greener	60	Male	Lower class	Old, crippled, once-famous vaudeville performer	Minor character	Former vaudeville performer	Chapter 2	Humorous, cynical, worn-down	Works as a salesman, occasionally performing small tricks for Faye.	Father of Faye Greener	Short, frail, gray hair	Gray, worn-out suit	ChatGPT	The Day of the Locust	2025-01-13
Miguel	30	Male	Lower class	Exotic, sharp-featured	Minor character	Handyman	Chapter 4	Quiet, observant, strong	Works for Homer Simpson, takes care of his house.	No strong connections to the main characters	Short black hair, muscular frame	Plain clothes, work boots	ChatGPT	The Day of the Locust	2025-01-13
Fred	35	Male	Working class	Unkempt, rough demeanor	Minor character	Ex-soldier	Chapter 5	Rough, somewhat unstable	Engages in fights and drunken brawls, involved in the riots.	No meaningful relationships	Short hair, scarred face	Dark, torn clothes	ChatGPT	The Day of the Locust	2025-01-13
Mrs. Jenning	50	Female	Lower class	World-weary, experienced	Minor character	Owner of a brothel	Chapter 6	Sly, business-minded	Operates a brothel, arranges sexual encounters.	Works with various men, manipulates Tod	Short, overweight, gray hair	Red dress, gold jewelry	ChatGPT	The Day of the Locust	2025-01-13
Newland Archer	30	Male	Upper class	Idealistic, conflicted, intellectual	Main character	Lawyer	Chapter 1	Reserved, passionate, indecisive	Engaged to May Welland but falls in love with Ellen Olenska.	Betrothed to May Welland; in love with Ellen Olenska	Tall, fair, refined features	Dark suit, white shirt, black tie	ChatGPT	The Age of Innocence	2025-01-13
May Welland	22	Female	Upper class	Beautiful, naive, socially conventional	Supporting character	Socialite	Chapter 1	Charming, dutiful, naive	Engaged to Newland Archer; follows societal expectations.	Fiancé of Newland Archer	Delicate, blonde, gentle demeanor	Light-colored gowns, pastel dresses	ChatGPT	The Age of Innocence	2025-01-13
Ellen Olenska	29	Female	Upper class	Exotic, independent, unconventional	Supporting character	Exiled aristocrat	Chapter 2	Strong-willed, intellectual, free-spirited	Returns to New York from Europe, disrupting societal norms.	Has romantic feelings for Newland Archer, estranged from her husband	Woman of striking beauty, dark hair, pale skin	Black or dark-colored gowns, European fashion	ChatGPT	The Age of Innocence	2025-01-13
Mr. Welland	50s	Male	Upper class	Affluent, conservative	Minor character	Businessman	Chapter 1	Sturdy, formal, somewhat indifferent	May's father, supportive of his daughter’s engagement.	Father of May Welland	Robust, gray hair, thick-set suit	Gray, dark suit	ChatGPT	The Age of Innocence	2025-01-13
Mrs. Manson Mingott	65	Female	Upper class	Wealthy, controlling, progressive	Minor character	Socialite	Chapter 3	Strong-willed, domineering, shrewd	Attempts to support Ellen Olenska despite societal disapproval.	Aunt to Newland Archer and May Welland	Overweight, sharp features	Expensive, bold-colored dresses	ChatGPT	The Age of Innocence	2025-01-13
Janey Archer	35	Female	Upper class	Reserved, opinionated	Minor character	Socialite	Chapter 4	Conservative, proper	Supports Newland Archer in his decisions, but with little enthusiasm.	Sister to Newland Archer	Thin, elegant, sharp eyes	Soft-colored gowns, understated fashion	ChatGPT	The Age of Innocence	2025-01-13
Laurence Lefferts	40s	Male	Upper class	Hypocritical, gossiping	Minor character	Socialite	Chapter 5	Grandiloquent, self-important	Known for spreading gossip; becomes a critic of Newland's relationship with Ellen.	Marries to Grace Lefferts	Short, gray-haired, well-groomed	Formal dark suit, white cravat	ChatGPT	The Age of Innocence	2025-01-13
Grace Lefferts	40s	Female	Upper class	Reserved, conservative	Minor character	Socialite	Chapter 5	Proper, attentive	Marriage to Laurence Lefferts remains calm, though overshadowed by gossip.	Wife of Laurence Lefferts	Slender, dark-haired, neat appearance	Light-colored, elegant dresses	ChatGPT	The Age of Innocence	2025-01-13
Mrs. Ramsay	45	Female	Upper middle class	Graceful, nurturing, idealistic	Main character	Wife, mother	Chapter 1	Empathetic, maternal, practical	Cares for her children and husband, creates a sense of harmony in the household.	Wife of Mr. Ramsay, mother of eight children	Medium height, attractive, dark hair	Blue dress, white apron	ChatGPT	To the Lighthouse	2025-01-13
Mr. Ramsay	50s	Male	Upper middle class	Philosophical, domineering, insecure	Main character	Philosopher	Chapter 1	Ambitious, self-centered, sensitive	Seeks validation for his intellectual pursuits, struggles with his role as a father.	Husband of Mrs. Ramsay, father of eight children	Tall, imposing figure, balding	Gray suit, dark tie	ChatGPT	To the Lighthouse	2025-01-13
Lily Briscoe	34	Female	Upper middle class	Independent, artistic, introspective	Supporting character	Painter	Chapter 1	Reserved, thoughtful, determined	Paints in the garden and reflects on her life and the Ramsay family.	Unmarried, has a complicated relationship with Mrs. Ramsay	Short, angular, sharp eyes	Plain dress, dark colors	ChatGPT	To the Lighthouse	2025-01-13
James Ramsay	10	Male	Upper middle class	Rebellious, sensitive, introspective	Supporting character	Child	Chapter 1	Playful, eager, anxious	Dislikes his father’s authoritative nature, desires to go to the lighthouse.	Son of Mr. and Mrs. Ramsay	Small, slender, dark hair	Light-colored shirt, shorts	ChatGPT	To the Lighthouse	2025-01-13
Cam Ramsay	8	Female	Upper middle class	Shy, introspective	Supporting character	Child	Chapter 1	Quiet, sensitive	Plays in the garden with her siblings, reflects on her mother’s death later.	Daughter of Mr. and Mrs. Ramsay	Small, delicate, light brown hair	Light dress, soft colors	ChatGPT	To the Lighthouse	2025-01-13
William Bankes	60	Male	Upper middle class	Scholarly, reserved, solitary	Supporting character	Botanist	Chapter 1	Serious, analytical	Visits the Ramsay family, reflects on his past relationship with Mrs. Ramsay.	Unmarried, had a past affection for Mrs. Ramsay	Tall, distinguished, gray hair	Formal suit, muted colors	ChatGPT	To the Lighthouse	2025-01-13
Charles Tansley	30	Male	Lower middle class	Ambitious, insecure, disdainful	Supporting character	Academic	Chapter 1	Arrogant, self-conscious	Struggles with social status, seeks approval from Mr. Ramsay.	Unmarried, criticizes Mrs. Ramsay's domestic role	Thin, awkward, pale skin	Black suit, conservative colors	ChatGPT	To the Lighthouse	2025-01-13
Paul Rayley	20s	Male	Upper middle class	Charming, affectionate	Supporting character	Young man	Chapter 1	Affectionate, sensitive	In love with Minta, engages with the Ramsay children.	Engaged to Minta Doyle	Attractive, youthful, dark hair	Light-colored, fashionable clothes	ChatGPT	To the Lighthouse	2025-01-13
Minta Doyle	20s	Female	Upper middle class	Flirtatious, lively	Supporting character	Young woman	Chapter 1	Charming, flirtatious	Engaged to Paul Rayley, interacts with the Ramsay family.	Engaged to Paul Rayley	Pretty, blonde hair, cheerful expression	Light-colored, fashionable dresses	ChatGPT	To the Lighthouse	2025-01-13
Henry Baldwin	40s	Male	Upper middle class	Wealthy, reserved, contemplative	Main character	Businessman	Chapter 1	Conflicted, introspective	Struggles with guilt and past decisions, reflects on his life choices.	Married to Christina Baldwin, estranged from their children	Tall, well-built, distinguished features	Dark suit, white shirt, black tie	ChatGPT	Early Autumn	2025-01-13
Christina Baldwin	40s	Female	Upper middle class	Beautiful, aloof, emotionally distant	Main character	Homemaker	Chapter 1	Emotional, cold, detached	Tries to reconnect with her husband, but remains emotionally distant.	Wife of Henry Baldwin, estranged from her children	Attractive, blonde, elegant features	Formal dresses, pastel colors	ChatGPT	Early Autumn	2025-01-13
William Baldwin	18	Male	Upper middle class	Conflicted, idealistic	Supporting character	College student	Chapter 2	Rebellious, uncertain	Returns home after years away, struggles with family expectations and identity.	Son of Henry and Christina Baldwin	Slender, youthful, tall	Blue shirt, khaki pants	ChatGPT	Early Autumn	2025-01-13
Lily Baldwin	16	Female	Upper middle class	Charming, idealistic, strong-willed	Supporting character	High school student	Chapter 2	Independent, assertive	Seeks to break free from her parents’ expectations and form her own identity.	Daughter of Henry and Christina Baldwin	Short, lively, dark hair	Light-colored dresses, bright shades	ChatGPT	Early Autumn	2025-01-13
Philip Baldwin	50s	Male	Upper middle class	Worldly, charming, self-assured	Supporting character	Socialite	Chapter 3	Confident, persuasive	Visits the Baldwin family, serves as a contrast to Henry's more reserved nature.	Brother of Henry Baldwin, often interacts with the family	Tall, silver-haired, distinguished	Expensive suit, dark colors	ChatGPT	Early Autumn	2025-01-13
Patricia	20s	Female	Upper middle class	Affectionate, naïve	Minor character	Socialite	Chapter 4	Charming, emotional	Involved in a romantic relationship with William Baldwin.	Has a romantic connection with William Baldwin	Attractive, slender, blonde	Stylish dress, soft colors	ChatGPT	Early Autumn	2025-01-13
